optimizer,checkpoint_type,epoch,train_loss,train_acc,id_loss,id_acc,ood_noise_loss,ood_noise_acc,ood_blur_loss,ood_blur_acc,ood_brightness_loss,ood_brightness_acc,avg_ood_acc,id_ood_acc_drop
sgd,last,50,0.33070113344192503,0.88772,0.627962076663971,0.8024,3.3704166595458984,0.2296,1.4433360063552856,0.6068,0.8200237717628479,0.7437,0.5267000000000001,0.27569999999999995
sgd,best_id,40,0.33880224123001096,0.88468,0.3890850368499756,0.8682,4.9162453819274905,0.1159,1.373954172706604,0.5917,0.5498078939437866,0.8155,0.5076999999999999,0.36050000000000004
sgd,best_ood,41,0.3383697177124023,0.88584,0.4674358484983444,0.8477,2.6906646713256834,0.2246,1.233248381614685,0.6391,0.6007286827087402,0.8066,0.5567666666666666,0.2909333333333334
sam,last,50,0.2899840894508362,0.9014,0.45997864809036254,0.846,2.901238987731934,0.1805,1.1717378398895264,0.6538,0.7065161826133728,0.7756,0.5366333333333334,0.30936666666666657
sam,best_id,45,0.3024074124622345,0.89726,0.36116332416534425,0.8758,4.935382727813721,0.1444,1.3931051679611206,0.5986,0.4778754405975342,0.8346,0.5258666666666667,0.3499333333333333
sam,best_ood,17,0.3916672462558746,0.86804,0.41476862339973447,0.8622,2.4340973068237304,0.2994,1.1531071796417236,0.6587,0.5467973408699036,0.8169,0.5916666666666667,0.2705333333333333
