epoch,lr,train_loss,train_acc,id_loss,id_acc,ood_noise_loss,ood_noise_acc,ood_blur_loss,ood_blur_acc,ood_brightness_loss,ood_brightness_acc,avg_ood_acc,id_ood_acc_drop
25,0.053139525976465665,0.23958797198295592,0.91894,0.3305731939792633,0.8878,5.250819161224365,0.1126,0.9821821228027344,0.6814,0.4845813702583313,0.837,0.5436666666666666,0.3441333333333334
26,0.049999999999999996,0.22320431448936462,0.92688,0.3029596842288971,0.8963,5.558425523376465,0.1202,1.1130878209114075,0.6631,0.41891176204681396,0.8588,0.5473666666666667,0.3489333333333333
27,0.046860474023534326,0.21497657636642456,0.92846,0.32931511578559874,0.8889,3.736084439086914,0.1946,1.0826566270828246,0.6617,0.46771617851257324,0.839,0.5651,0.3238
28,0.04373333832178478,0.19892785563468934,0.935,0.2827892773628235,0.9011,4.401944153594971,0.123,1.4334353860855102,0.5714,0.43176797857284543,0.8548,0.5164,0.38470000000000004
29,0.040630934270713764,0.18878420434951781,0.93848,0.2780560670375824,0.9075,4.763890191650391,0.1349,1.4343394603729247,0.604,0.41776239738464355,0.8553,0.5314,0.3761
30,0.03756550564175726,0.1700159018278122,0.94496,0.26581994500160216,0.9102,5.396742317199707,0.1234,1.2401769079208373,0.6512,0.39293376054763796,0.8693,0.5479666666666666,0.3622333333333334
31,0.03454915028125265,0.16081884109020234,0.94852,0.2690791767835617,0.907,3.4841738292694093,0.2151,1.5492061128616332,0.5736,0.40877777309417723,0.8619,0.5501999999999999,0.3568000000000001
32,0.03159377236576612,0.14434168160438537,0.95436,0.24964616918563842,0.9139,5.810150372314453,0.1236,1.3122937133789063,0.5999,0.35561594762802123,0.8756,0.5330333333333334,0.3808666666666667
33,0.028711035421746366,0.1309380342578888,0.95882,0.2799911897659302,0.9038,5.727121184539795,0.1236,1.559379606628418,0.5961,0.37511545429229737,0.8721,0.5306000000000001,0.3732
34,0.025912316294914226,0.11540422720193863,0.96566,0.21808329615592956,0.9251,4.682692750549316,0.1502,1.5426175722122193,0.587,0.3351159111976624,0.8845,0.5405666666666666,0.3845333333333334
35,0.023208660251050155,0.1025582986164093,0.9695,0.22447345209121705,0.9196,4.68422233581543,0.1547,1.7816259057998658,0.5441,0.3594532989501953,0.8779,0.5255666666666667,0.39403333333333324
36,0.020610737385376346,0.08991312948703765,0.97462,0.22031916422843933,0.923,5.019212218475341,0.1495,1.8123731287002562,0.5657,0.3635748197555542,0.8777,0.5309666666666667,0.39203333333333334
37,0.01812880051256551,0.07932159122228623,0.97726,0.2095691309928894,0.9295,5.296526622772217,0.1324,1.4331955358505248,0.6126,0.3176185925483704,0.8949,0.5466333333333333,0.3828666666666667
38,0.015772644703565562,0.06867980568885804,0.9816,0.20204262056350708,0.9287,5.238853154754639,0.1466,1.3508737798690795,0.6173,0.33123081197738646,0.888,0.5506333333333333,0.37806666666666666
39,0.013551568628929433,0.05882059208393097,0.98542,0.18893897008895874,0.9391,5.125712002563477,0.1517,1.424893664741516,0.6276,0.2938207371711731,0.9034,0.5609000000000001,0.3782
40,0.011474337861210542,0.049863504600524904,0.9878,0.1820460554599762,0.9379,4.862112126159668,0.1521,1.4905281200408935,0.6038,0.2938059649467468,0.9027,0.5528666666666666,0.38503333333333334
41,0.009549150281252632,0.04072958433866501,0.99106,0.17804726009368896,0.9391,5.754432872009278,0.1409,1.5256774967193603,0.6014,0.2866956279754639,0.9067,0.5496666666666666,0.3894333333333334
42,0.007783603724899257,0.03427651334881782,0.9933,0.17009533634185792,0.9433,5.071099634552002,0.1668,1.3701715253829956,0.6362,0.28462066278457643,0.9072,0.5700666666666666,0.3732333333333334
43,0.0061846659978068205,0.02839976704955101,0.9953,0.16814972071647644,0.9446,5.900718365478515,0.1472,1.4319389732360839,0.631,0.26916943988800046,0.9099,0.5627,0.3819
44,0.004758647376699033,0.02498336181998253,0.99626,0.16426286821365357,0.9452,6.021934005737305,0.1495,1.3063808422088623,0.6498,0.26594590311050414,0.9133,0.5708666666666667,0.3743333333333333
45,0.0035111757055874327,0.021491186821460725,0.99696,0.16232633299827576,0.9467,5.688042375946045,0.1532,1.4945926662445068,0.6129,0.2705908281326294,0.9124,0.5595,0.3872
46,0.0024471741852423235,0.01909270227968693,0.99768,0.15982613520622255,0.948,5.8747390968322755,0.1506,1.333342466545105,0.6481,0.2677356698036194,0.9127,0.5704666666666666,0.3775333333333334
47,0.0015708419435684518,0.016881397712230684,0.99834,0.16035285558700563,0.9486,6.2736246879577635,0.1354,1.3755151760101318,0.6414,0.2636189016342163,0.9155,0.5640999999999999,0.38450000000000006
48,0.000885637463565564,0.015828840426206588,0.99836,0.15828450179100037,0.9483,5.858601493835449,0.146,1.3857226278305053,0.6395,0.2669107069015503,0.913,0.5661666666666667,0.3821333333333333
49,0.00039426493427611173,0.014915582742989063,0.9988,0.1596894103527069,0.9492,5.626413969421387,0.1523,1.3845174263000488,0.6465,0.2666360562324524,0.915,0.5712666666666667,0.37793333333333334
50,9.866357858642205e-05,0.015176599377393723,0.99866,0.16088825840950013,0.9468,5.830846942138672,0.1492,1.344882193183899,0.6418,0.2677507451057434,0.9137,0.5682333333333333,0.3785666666666667
