epoch,lr,train_loss,train_acc,id_loss,id_acc,ood_noise_loss,ood_noise_acc,ood_blur_loss,ood_blur_acc,ood_brightness_loss,ood_brightness_acc,avg_ood_acc,id_ood_acc_drop
1,0.1,2.1086770809173583,0.24658,1.6505274562835692,0.3817,1.719973783493042,0.3596,1.7756807247161865,0.3471,1.805060025024414,0.336,0.34756666666666663,0.03413333333333335
2,0.09990133642141358,1.4409524333190917,0.46652,1.321834921836853,0.5112,2.172340884399414,0.3396,1.7782362712860107,0.3677,1.602861731338501,0.4327,0.38000000000000006,0.13119999999999993
3,0.0996057350657239,1.1348305055999757,0.58996,1.0763397890090942,0.6165,2.2924945018768312,0.3221,1.7424673400878907,0.4414,1.2101309022903441,0.5796,0.4477,0.16880000000000006
4,0.09911436253643444,0.9192569458198547,0.67266,1.222399680519104,0.6354,7.011554212188721,0.1286,2.0267174829483032,0.4501,1.2724753337860106,0.6032,0.39396666666666663,0.24143333333333333
5,0.09842915805643154,0.7477624308013916,0.74002,0.9925250945091247,0.6617,2.9630267028808595,0.2677,2.380845249938965,0.3961,1.073984913635254,0.6348,0.4328666666666667,0.22883333333333328
6,0.09755282581475767,0.6482055406570435,0.77494,0.8249469220161438,0.7264,5.069820799255371,0.1265,1.4032480098724365,0.5715,0.9521436988830566,0.6855,0.46116666666666667,0.2652333333333334
7,0.09648882429441256,0.5804252139091491,0.79948,0.6196607413291931,0.787,4.596507611846924,0.1373,1.6610226928710938,0.5271,0.7412383266448974,0.7451,0.4698333333333333,0.3171666666666667
8,0.09524135262330098,0.5400413028526306,0.81396,0.6872505493164063,0.7753,3.2935681846618654,0.2276,1.994428032875061,0.4859,0.7544048705101013,0.7499,0.4878,0.2875
9,0.09381533400219318,0.504631476354599,0.82702,0.6995626148223877,0.773,3.7794740112304686,0.1968,1.7681781883239747,0.5399,0.8641786014556885,0.725,0.48723333333333335,0.28576666666666667
10,0.09221639627510075,0.48281230464935304,0.8347,0.7873162137985229,0.7479,4.329679472351074,0.2123,1.7037885021209718,0.5438,0.8990623491287232,0.7133,0.4898,0.2581
11,0.09045084971874737,0.45544723264694215,0.8433,0.561921357011795,0.8168,5.356771517944336,0.1153,1.320540121269226,0.581,0.7362473518371582,0.7617,0.486,0.3308
12,0.08852566213878946,0.4399102082633972,0.8497,0.6277551320075989,0.7877,4.425558821105957,0.1652,1.9400837779998779,0.5255,0.769119229888916,0.7417,0.47746666666666665,0.3102333333333333
13,0.08644843137107057,0.419350952835083,0.8538,0.7368646107673645,0.7612,2.8408449714660646,0.259,1.5430216075897216,0.5379,0.8884503524780274,0.7184,0.5051,0.2561
14,0.08422735529643442,0.40723774728775025,0.86084,0.6301522753715515,0.7925,3.8907794536590576,0.2039,1.8800599620819092,0.485,0.8058859775543213,0.7479,0.4789333333333334,0.3135666666666666
15,0.08187119948743447,0.39253616485595705,0.86388,0.8696756163597107,0.7332,7.4870612487792965,0.1159,1.6020101484298706,0.5602,1.1763143829345704,0.6629,0.4463333333333333,0.28686666666666666
16,0.07938926261462366,0.37759374400138856,0.8691,0.5125512505531311,0.8207,3.486398515319824,0.1802,2.0377954891204832,0.4774,0.621377167892456,0.783,0.4802,0.34049999999999997
17,0.07679133974894982,0.3607967910003662,0.87712,0.4366425553321838,0.8534,4.561396255493164,0.1768,1.6336408712387085,0.5599,0.6420499629974366,0.789,0.5085666666666667,0.3448333333333333
18,0.07408768370508576,0.3477275023841858,0.87952,0.4568255786895752,0.8466,3.4553739612579344,0.2219,2.0801029251098635,0.4683,0.7169993391036987,0.7713,0.4871666666666667,0.3594333333333333
19,0.07128896457825362,0.3339740841293335,0.88626,0.4770747490167618,0.8436,4.18809073638916,0.1717,1.845150148010254,0.5087,0.7110024511337281,0.7749,0.48510000000000003,0.3585
20,0.06840622763423389,0.32281868645668027,0.8889,0.483985326051712,0.8435,3.2406961082458494,0.2304,1.27406253490448,0.6425,0.6374761407852173,0.7986,0.5571666666666667,0.28633333333333333
21,0.06545084971874736,0.3125375085163116,0.8927,0.5052422897338867,0.8385,5.055207279968262,0.1433,0.8202914035797119,0.729,0.7767269157409668,0.7593,0.5438666666666666,0.2946333333333334
22,0.06243449435824272,0.29953512828826906,0.8986,0.46589354186058046,0.8499,5.363739323425293,0.1413,1.7320721439361573,0.555,0.6942880973815918,0.7816,0.4926333333333333,0.3572666666666667
23,0.05936906572928623,0.2880394544839859,0.90172,0.38732948672771456,0.872,3.851882322692871,0.2151,1.0667565267562866,0.6709,0.5397259826660157,0.825,0.5703333333333334,0.30166666666666664
24,0.056266661678215216,0.26878305755615234,0.90736,0.4727871203660965,0.8472,5.01376344909668,0.1379,1.7118649620056152,0.5585,0.8165665877819062,0.7625,0.48629999999999995,0.3609
