Optimizer,Checkpoint,Epoch,Train Loss,Train Acc,ID Acc,OOD Noise,OOD Blur,OOD Brightness,Avg OOD Acc,ID-OOD Drop
SGD,last,50,0.007379920541197,0.9987,0.9405,0.1517,0.6442,0.908,0.5679666666666666,0.3725333333333334
SGD,best_id,44,0.0156186375242471,0.9957,0.941,0.1476,0.6553,0.9059,0.5696,0.3713999999999999
SGD,best_ood,45,0.0123935606878995,0.9973,0.9395,0.1503,0.6667,0.9031,0.5733666666666667,0.3661333333333333
SAM-SGD,last,50,0.0151765993773937,0.99866,0.9468,0.1492,0.6418,0.9137,0.5682333333333333,0.3785666666666667
SAM-SGD,best_id,49,0.014915582742989,0.9988,0.9492,0.1523,0.6465,0.915,0.5712666666666667,0.3779333333333333
SAM-SGD,best_ood,49,0.014915582742989,0.9988,0.9492,0.1523,0.6465,0.915,0.5712666666666667,0.3779333333333333
