model,batch,trace_mean,trace_std
SGD,0,919.73866404742,349.4151742488212
SAM,0,592.5915443085134,211.4747999829699
SGD,1,979.8836174041032,434.70578241605466
SAM,1,564.5032810166479,207.997408631995
SGD,2,924.3036811470986,279.01839876164377
SAM,2,583.4120117887854,246.13296968901224
SGD,3,1047.590262246132,537.269407763998
SAM,3,523.5904644533991,201.4645611388238
SGD,4,812.8592717200518,312.3356154020191
SAM,4,388.30426595062016,172.58186054688312
