model,checkpoint_variant,rho,mean_base_loss,mean_perturbed_loss,mean_sharpness,std_sharpness
SGD,best_id,0.001,0.3532644331455231,0.3559363543987274,0.002671921253204346,0.0005344156969104901
SGD,best_id,0.005,0.3532644331455231,0.3669426470994949,0.013678213953971863,0.002721437302711081
SGD,best_id,0.01,0.3532644331455231,0.38139522075653076,0.02813078761100769,0.0055497122840682455
SGD,best_id,0.05,0.3532644331455231,0.5215689748525619,0.16830454170703887,0.03220539846795684
SAM,best_id,0.001,0.3729786515235901,0.37549055814743043,0.002511906623840332,0.00029327217444378615
SAM,best_id,0.005,0.3729786515235901,0.38575500845909116,0.0127763569355011,0.0015115917062952873
SAM,best_id,0.01,0.3729786515235901,0.39908185303211213,0.026103201508522033,0.0031378085980271592
SAM,best_id,0.05,0.3729786515235901,0.5226114362478256,0.14963278472423552,0.01984591541366953
