model,checkpoint_variant,mean,std,min,max
SAM,best_id,0.026103201508522033,0.003307540677141849,0.021243512630462646,0.03284335136413574
SGD,best_id,0.02813078761100769,0.005849910392090347,0.021403372287750244,0.04166656732559204
