model,hessian_trace_mean,top1_eigenvalue,sum_top_k,Neff_z1
SGD,936.8750959762931,142.48729321360588,583.6747346841439,19.016100853988387
SAM,530.480314372629,72.12923453748226,392.08440641328343,18.530488191621302
