model,checkpoint,epoch,train_loss,train_acc,id_loss,id_acc,ood_noise_loss,ood_noise_acc,ood_blur_loss,ood_blur_acc,ood_brightness_loss,ood_brightness_acc,avg_ood_acc,id_ood_acc_drop
SGD,best_ood,41,0.3383697177124023,0.88584,0.4674358484983444,0.8477,2.6906646713256834,0.2246,1.233248381614685,0.6391,0.6007286827087402,0.8066,0.5567666666666666,0.2909333333333334
SAM,best_ood,17,0.3916672462558746,0.86804,0.41476862339973447,0.8622,2.4340973068237304,0.2994,1.1531071796417236,0.6587,0.5467973408699036,0.8169,0.5916666666666667,0.2705333333333333
