model,batch,trace_mean,trace_std
SGD,0,821.6432926535606,284.9717329288865
SAM,0,457.0797680579126,146.27101287420956
SGD,1,954.193933069706,405.7417813893735
SAM,1,542.4313932642341,146.95207814375507
SGD,2,748.1084832414984,402.94114681745583
SAM,2,459.80105955004694,155.52971925958343
SGD,3,899.5223068073392,368.3133081109658
SAM,3,496.1856422483921,157.56203956354094
SGD,4,813.4749512836337,268.2778946251388
SAM,4,407.25706482976676,176.2966175420596
