model,batch,trace_mean,trace_std
SGD,0,919.7387266859412,349.41522297944556
SAM,0,592.5915669925511,211.47472230191033
SGD,1,979.88359336555,434.705704315275
SAM,1,564.5033099293709,207.99738189829282
SGD,2,924.3036367893219,279.01837902785905
SAM,2,583.4119605049491,246.13293230924785
SGD,3,1047.5902422726153,537.2695070772289
SAM,3,523.5905027225614,201.46452289718982
SGD,4,812.8592807680368,312.3356118482115
SAM,4,388.3042317137122,172.58187489878568
